Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6290667,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6291362,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6295616,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
6299346,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6309594,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
6309785,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6310352,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6311005,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6311768,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6319413,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6332470,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6333047,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6333812,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6334574,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6339363,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6349791,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
6350799,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6351487,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6352168,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6352959,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6359320,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6364226,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
6365307,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6365962,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6370632,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6371317,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6375574,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
